,X,Y,Part,Photo_id,Human_id
6,552,284,LEar,31,0
0,438,300,Nose,32,0
1,403,258,REye,32,0
2,476,260,LEye,32,0
3,416,340,RM,32,0
4,462,338,LM,32,0
5,361,298,REar,32,0
6,524,289,LEar,32,0
0,433,297,Nose,33,0
1,390,260,REye,33,0
2,460,255,LEye,33,0
3,410,338,RM,33,0
4,453,335,LM,33,0
5,332,299,REar,33,0
6,471,283,LEar,33,0
0,431,291,Nose,34,0
1,381,255,REye,34,0
2,446,254,LEye,34,0
3,404,332,RM,34,0
4,439,325,LM,34,0
5,305,293,REar,34,0
6,443,281,LEar,34,0
0,438,272,Nose,35,0
1,420,239,REye,35,0
2,489,231,LEye,35,0
3,429,310,RM,35,0
4,488,310,LM,35,0
5,442,257,REar,35,0
6,584,261,LEar,35,0
0,437,284,Nose,36,0
1,409,250,REye,36,0
2,484,245,LEye,36,0
3,415,320,RM,36,0
4,477,322,LM,36,0
5,400,280,REar,36,0
6,552,278,LEar,36,0
0,443,285,Nose,37,0
1,405,252,REye,37,0
2,479,251,LEye,37,0
3,410,324,RM,37,0
4,474,325,LM,37,0
5,360,285,REar,37,0
6,527,284,LEar,37,0
0,439,284,Nose,38,0
1,390,251,REye,38,0
2,462,248,LEye,38,0
3,405,323,RM,38,0
4,462,320,LM,38,0
5,331,292,REar,38,0
6,467,269,LEar,38,0
0,435,279,Nose,39,0
1,384,247,REye,39,0
2,450,247,LEye,39,0
3,397,317,RM,39,0
4,448,317,LM,39,0
5,307,285,REar,39,0
6,448,270,LEar,39,0
0,427,296,Nose,0,1
1,407,251,REye,0,1
2,485,248,LEye,0,1
3,417,359,RM,0,1
4,477,359,LM,0,1
5,408,291,REar,0,1
6,597,282,LEar,0,1
0,427,296,Nose,1,1
1,396,250,REye,1,1
2,482,248,LEye,1,1
3,408,358,RM,1,1
4,472,357,LM,1,1
5,370,289,REar,1,1
6,568,283,LEar,1,1
0,432,301,Nose,2,1
1,390,250,REye,2,1
2,479,250,LEye,2,1
3,400,359,RM,2,1
4,468,359,LM,2,1
5,332,286,REar,2,1
6,536,286,LEar,2,1
0,435,298,Nose,3,1
1,386,251,REye,3,1
2,472,252,LEye,3,1
3,396,362,RM,3,1
4,458,357,LM,3,1
5,302,288,REar,3,1
6,493,287,LEar,3,1
0,443,296,Nose,4,1
1,388,248,REye,4,1
2,465,249,LEye,4,1
3,394,361,RM,4,1
4,453,356,LM,4,1
5,273,287,REar,4,1
6,453,279,LEar,4,1
0,422,301,Nose,5,1
1,403,253,REye,5,1
2,480,251,LEye,5,1
3,412,354,RM,5,1
4,477,355,LM,5,1
5,404,293,REar,5,1
6,588,288,LEar,5,1
0,419,299,Nose,6,1
1,387,253,REye,6,1
2,472,251,LEye,6,1
3,394,351,RM,6,1
4,465,353,LM,6,1
5,366,296,REar,6,1
6,554,287,LEar,6,1
0,420,302,Nose,7,1
1,379,253,REye,7,1
2,465,253,LEye,7,1
3,382,354,RM,7,1
4,455,354,LM,7,1
5,319,289,REar,7,1
6,519,290,LEar,7,1
0,419,301,Nose,8,1
1,372,254,REye,8,1
2,455,255,LEye,8,1
3,374,358,RM,8,1
4,444,356,LM,8,1
5,285,291,REar,8,1
6,474,294,LEar,8,1
0,424,301,Nose,9,1
1,369,250,REye,9,1
2,446,252,LEye,9,1
3,370,356,RM,9,1
4,433,352,LM,9,1
5,255,292,REar,9,1
6,437,281,LEar,9,1
0,424,293,Nose,10,1
1,408,247,REye,10,1
2,487,244,LEye,10,1
3,417,355,RM,10,1
4,478,356,LM,10,1
5,407,288,REar,10,1
6,598,282,LEar,10,1
0,429,293,Nose,11,1
1,396,244,REye,11,1
2,482,243,LEye,11,1
3,406,353,RM,11,1
4,475,352,LM,11,1
5,375,286,REar,11,1
6,568,283,LEar,11,1
0,432,293,Nose,12,1
1,390,246,REye,12,1
2,479,246,LEye,12,1
3,400,356,RM,12,1
4,467,355,LM,12,1
5,335,286,REar,12,1
6,536,286,LEar,12,1
0,434,295,Nose,13,1
1,387,248,REye,13,1
2,473,249,LEye,13,1
3,395,358,RM,13,1
4,461,354,LM,13,1
5,302,288,REar,13,1
6,493,288,LEar,13,1
0,442,295,Nose,14,1
1,386,244,REye,14,1
2,467,245,LEye,14,1
3,393,356,RM,14,1
4,456,351,LM,14,1
5,269,286,REar,14,1
6,453,279,LEar,14,1
0,419,299,Nose,15,1
1,401,255,REye,15,1
2,478,252,LEye,15,1
3,412,354,RM,15,1
4,477,355,LM,15,1
5,404,293,REar,15,1
6,588,288,LEar,15,1
0,419,299,Nose,16,1
1,387,253,REye,16,1
2,472,251,LEye,16,1
3,394,351,RM,16,1
4,465,353,LM,16,1
5,366,296,REar,16,1
6,554,287,LEar,16,1
0,420,302,Nose,17,1
1,379,253,REye,17,1
2,465,253,LEye,17,1
3,382,354,RM,17,1
4,455,354,LM,17,1
5,319,289,REar,17,1
6,519,290,LEar,17,1
0,419,301,Nose,18,1
1,370,253,REye,18,1
2,455,255,LEye,18,1
3,374,358,RM,18,1
4,444,356,LM,18,1
5,285,291,REar,18,1
6,474,294,LEar,18,1
0,424,301,Nose,19,1
1,369,250,REye,19,1
2,446,252,LEye,19,1
3,370,356,RM,19,1
4,433,352,LM,19,1
5,255,292,REar,19,1
6,437,281,LEar,19,1
0,425,291,Nose,20,1
1,409,246,REye,20,1
2,489,243,LEye,20,1
3,418,355,RM,20,1
4,476,357,LM,20,1
5,405,286,REar,20,1
6,601,285,LEar,20,1
0,432,291,Nose,21,1
1,400,244,REye,21,1
2,487,244,LEye,21,1
3,407,356,RM,21,1
4,474,355,LM,21,1
5,373,288,REar,21,1
6,570,286,LEar,21,1
0,437,294,Nose,22,1
1,395,246,REye,22,1
2,485,247,LEye,22,1
3,402,356,RM,22,1
4,472,357,LM,22,1
5,334,285,REar,22,1
6,541,286,LEar,22,1
0,439,296,Nose,23,1
1,392,246,REye,23,1
2,477,248,LEye,23,1
3,397,359,RM,23,1
4,464,357,LM,23,1
5,304,289,REar,23,1
6,497,290,LEar,23,1
0,447,291,Nose,24,1
1,393,242,REye,24,1
2,471,243,LEye,24,1
3,400,357,RM,24,1
4,462,352,LM,24,1
5,273,287,REar,24,1
6,453,279,LEar,24,1
0,419,297,Nose,25,1
1,400,253,REye,25,1
2,476,250,LEye,25,1
3,412,354,RM,25,1
4,475,353,LM,25,1
5,404,293,REar,25,1
6,587,286,LEar,25,1
0,415,297,Nose,26,1
1,385,251,REye,26,1
2,468,249,LEye,26,1
3,394,351,RM,26,1
4,465,353,LM,26,1
5,366,296,REar,26,1
6,552,283,LEar,26,1
0,415,300,Nose,27,1
1,375,253,REye,27,1
2,461,253,LEye,27,1
3,379,354,RM,27,1
4,452,354,LM,27,1
5,318,293,REar,27,1
6,518,286,LEar,27,1
0,414,301,Nose,28,1
1,368,254,REye,28,1
2,450,254,LEye,28,1
3,372,356,RM,28,1
4,440,354,LM,28,1
5,284,293,REar,28,1
6,474,294,LEar,28,1
0,417,299,Nose,29,1
1,363,249,REye,29,1
2,442,251,LEye,29,1
3,366,357,RM,29,1
4,429,352,LM,29,1
5,251,291,REar,29,1
6,437,281,LEar,29,1
0,427,288,Nose,30,1
1,409,247,REye,30,1
2,488,244,LEye,30,1
3,417,357,RM,30,1
4,478,357,LM,30,1
5,406,290,REar,30,1
6,603,287,LEar,30,1
0,431,291,Nose,31,1
1,401,244,REye,31,1
2,488,243,LEye,31,1
3,406,356,RM,31,1
4,474,356,LM,31,1
5,372,282,REar,31,1
6,571,284,LEar,31,1
0,438,296,Nose,32,1
1,396,243,REye,32,1
2,486,245,LEye,32,1
3,404,356,RM,32,1
4,476,357,LM,32,1
5,337,286,REar,32,1
6,540,285,LEar,32,1
0,440,295,Nose,33,1
1,393,246,REye,33,1
2,478,249,LEye,33,1
3,398,359,RM,33,1
4,470,356,LM,33,1
5,309,289,REar,33,1
6,498,287,LEar,33,1
0,448,291,Nose,34,1
1,391,241,REye,34,1
2,470,246,LEye,34,1
3,400,356,RM,34,1
4,462,352,LM,34,1
5,283,287,REar,34,1
6,457,271,LEar,34,1
0,415,297,Nose,35,1
1,400,252,REye,35,1
2,477,249,LEye,35,1
3,410,353,RM,35,1
4,475,352,LM,35,1
5,400,286,REar,35,1
6,584,286,LEar,35,1
0,414,298,Nose,36,1
1,382,253,REye,36,1
2,466,250,LEye,36,1
3,390,350,RM,36,1
4,463,352,LM,36,1
5,366,296,REar,36,1
6,550,285,LEar,36,1
0,412,299,Nose,37,1
1,372,253,REye,37,1
2,459,251,LEye,37,1
3,378,351,RM,37,1
4,451,352,LM,37,1
5,317,291,REar,37,1
6,516,289,LEar,37,1
0,412,303,Nose,38,1
1,366,254,REye,38,1
2,449,255,LEye,38,1
3,368,356,RM,38,1
4,440,353,LM,38,1
5,283,297,REar,38,1
6,470,288,LEar,38,1
0,417,297,Nose,39,1
1,362,251,REye,39,1
2,440,251,LEye,39,1
3,366,356,RM,39,1
4,430,352,LM,39,1
5,251,293,REar,39,1
6,437,281,LEar,39,1
0,439,311,Nose,0,2
1,425,283,REye,0,2
2,486,281,LEye,0,2
3,427,354,RM,0,2
4,478,355,LM,0,2
5,451,288,REar,0,2
6,564,321,LEar,0,2
0,443,307,Nose,1,2
1,414,279,REye,1,2
2,478,276,LEye,1,2
3,420,350,RM,1,2
4,474,349,LM,1,2
5,384,311,REar,1,2
6,540,310,LEar,1,2
0,436,311,Nose,2,2
1,401,280,REye,2,2
2,467,280,LEye,2,2
3,408,354,RM,2,2
4,465,353,LM,2,2
5,351,324,REar,2,2
6,506,309,LEar,2,2
0,427,306,Nose,3,2
1,386,278,REye,3,2
2,449,278,LEye,3,2
3,394,351,RM,3,2
4,446,351,LM,3,2
5,314,317,REar,3,2
6,451,312,LEar,3,2
0,429,309,Nose,4,2
1,379,278,REye,4,2
2,436,278,LEye,4,2
3,392,353,RM,4,2
4,441,350,LM,4,2
5,292,325,REar,4,2
6,444,307,LEar,4,2
0,439,310,Nose,5,2
1,422,283,REye,5,2
2,483,280,LEye,5,2
3,422,348,RM,5,2
4,480,348,LM,5,2
5,442,298,REar,5,2
6,561,326,LEar,5,2
0,441,305,Nose,6,2
1,412,278,REye,6,2
2,477,274,LEye,6,2
3,415,344,RM,6,2
4,477,341,LM,6,2
5,382,324,REar,6,2
6,538,315,LEar,6,2
0,436,309,Nose,7,2
1,400,280,REye,7,2
2,467,278,LEye,7,2
3,400,348,RM,7,2
4,466,346,LM,7,2
5,349,329,REar,7,2
6,506,316,LEar,7,2
0,429,305,Nose,8,2
1,384,277,REye,8,2
2,449,277,LEye,8,2
3,387,345,RM,8,2
4,449,342,LM,8,2
5,311,324,REar,8,2
6,447,308,LEar,8,2
0,429,306,Nose,9,2
1,378,278,REye,9,2
2,436,276,LEye,9,2
3,388,347,RM,9,2
4,441,343,LM,9,2
5,291,333,REar,9,2
6,438,300,LEar,9,2
0,439,311,Nose,10,2
1,423,284,REye,10,2
2,486,281,LEye,10,2
3,427,354,RM,10,2
4,478,355,LM,10,2
5,451,288,REar,10,2
6,564,321,LEar,10,2
0,443,307,Nose,11,2
1,413,280,REye,11,2
2,478,276,LEye,11,2
3,420,350,RM,11,2
4,474,349,LM,11,2
5,384,311,REar,11,2
6,540,310,LEar,11,2
0,436,311,Nose,12,2
1,401,280,REye,12,2
2,467,280,LEye,12,2
3,408,354,RM,12,2
4,465,353,LM,12,2
5,352,323,REar,12,2
6,511,309,LEar,12,2
0,427,306,Nose,13,2
1,386,278,REye,13,2
2,449,278,LEye,13,2
3,394,351,RM,13,2
4,446,351,LM,13,2
5,314,317,REar,13,2
6,451,312,LEar,13,2
0,429,309,Nose,14,2
1,379,278,REye,14,2
2,436,278,LEye,14,2
3,392,353,RM,14,2
4,441,350,LM,14,2
5,292,325,REar,14,2
6,443,310,LEar,14,2
0,441,307,Nose,15,2
1,424,282,REye,15,2
2,488,280,LEye,15,2
3,422,348,RM,15,2
4,484,350,LM,15,2
5,446,292,REar,15,2
6,564,331,LEar,15,2
0,444,305,Nose,16,2
1,415,279,REye,16,2
2,482,275,LEye,16,2
3,415,345,RM,16,2
4,481,343,LM,16,2
5,382,324,REar,16,2
6,539,318,LEar,16,2
0,440,308,Nose,17,2
1,402,280,REye,17,2
2,472,280,LEye,17,2
3,403,345,RM,17,2
4,469,348,LM,17,2
5,346,328,REar,17,2
6,509,319,LEar,17,2
0,432,303,Nose,18,2
1,387,278,REye,18,2
2,452,277,LEye,18,2
3,389,345,RM,18,2
4,451,344,LM,18,2
5,315,326,REar,18,2
6,455,312,LEar,18,2
0,431,308,Nose,19,2
1,381,278,REye,19,2
2,440,278,LEye,19,2
3,388,346,RM,19,2
4,443,344,LM,19,2
5,293,331,REar,19,2
6,446,306,LEar,19,2
0,442,311,Nose,20,2
1,425,283,REye,20,2
2,487,281,LEye,20,2
3,428,356,RM,20,2
4,481,357,LM,20,2
5,451,288,REar,20,2
6,566,325,LEar,20,2
0,443,307,Nose,21,2
1,415,279,REye,21,2
2,482,278,LEye,21,2
3,420,352,RM,21,2
4,478,351,LM,21,2
5,384,311,REar,21,2
6,541,316,LEar,21,2
0,440,311,Nose,22,2
1,402,281,REye,22,2
2,472,282,LEye,22,2
3,408,354,RM,22,2
4,465,354,LM,22,2
5,352,323,REar,22,2
6,511,312,LEar,22,2
0,432,308,Nose,23,2
1,388,279,REye,23,2
2,454,280,LEye,23,2
3,395,352,RM,23,2
4,450,352,LM,23,2
5,318,321,REar,23,2
6,459,313,LEar,23,2
0,431,309,Nose,24,2
1,382,279,REye,24,2
2,441,279,LEye,24,2
3,394,353,RM,24,2
4,443,352,LM,24,2
5,292,325,REar,24,2
6,444,311,LEar,24,2
0,443,310,Nose,25,2
1,425,283,REye,25,2
2,490,280,LEye,25,2
3,422,345,RM,25,2
4,487,345,LM,25,2
5,448,291,REar,25,2
6,565,327,LEar,25,2
0,444,304,Nose,26,2
1,414,279,REye,26,2
2,482,275,LEye,26,2
3,412,341,RM,26,2
4,484,339,LM,26,2
5,382,324,REar,26,2
6,538,317,LEar,26,2
0,440,306,Nose,27,2
1,403,280,REye,27,2
2,470,280,LEye,27,2
3,400,343,RM,27,2
4,472,343,LM,27,2
5,349,329,REar,27,2
6,506,316,LEar,27,2
0,432,307,Nose,28,2
1,387,278,REye,28,2
2,451,279,LEye,28,2
3,386,341,RM,28,2
4,452,341,LM,28,2
5,314,327,REar,28,2
6,453,309,LEar,28,2
0,432,308,Nose,29,2
1,381,279,REye,29,2
2,440,279,LEye,29,2
3,384,343,RM,29,2
4,442,344,LM,29,2
5,292,330,REar,29,2
6,444,302,LEar,29,2
0,442,312,Nose,30,2
1,425,283,REye,30,2
2,489,283,LEye,30,2
3,428,357,RM,30,2
4,479,358,LM,30,2
5,451,288,REar,30,2
6,567,326,LEar,30,2
0,440,307,Nose,31,2
1,414,279,REye,31,2
2,484,277,LEye,31,2
3,422,352,RM,31,2
4,476,352,LM,31,2
5,385,315,REar,31,2
6,541,318,LEar,31,2
0,438,310,Nose,32,2
1,402,281,REye,32,2
2,470,283,LEye,32,2
3,409,355,RM,32,2
4,465,354,LM,32,2
5,351,326,REar,32,2
6,511,313,LEar,32,2
0,433,307,Nose,33,2
1,388,279,REye,33,2
2,455,279,LEye,33,2
3,399,352,RM,33,2
4,447,352,LM,33,2
5,318,322,REar,33,2
6,457,317,LEar,33,2
0,434,310,Nose,34,2
1,384,279,REye,34,2
2,442,281,LEye,34,2
3,395,355,RM,34,2
4,441,352,LM,34,2
5,292,325,REar,34,2
6,444,311,LEar,34,2
0,442,310,Nose,35,2
1,425,283,REye,35,2
2,488,281,LEye,35,2
3,420,344,RM,35,2
4,489,345,LM,35,2
5,448,289,REar,35,2
6,564,327,LEar,35,2
0,443,304,Nose,36,2
1,413,279,REye,36,2
2,482,275,LEye,36,2
3,415,340,RM,36,2
4,480,339,LM,36,2
5,382,324,REar,36,2
6,539,317,LEar,36,2
0,442,308,Nose,37,2
1,401,280,REye,37,2
2,471,281,LEye,37,2
3,401,343,RM,37,2
4,472,343,LM,37,2
5,349,329,REar,37,2
6,506,316,LEar,37,2
0,429,305,Nose,38,2
1,386,278,REye,38,2
2,452,279,LEye,38,2
3,386,340,RM,38,2
4,454,341,LM,38,2
5,315,326,REar,38,2
6,447,308,LEar,38,2
0,431,307,Nose,39,2
1,384,278,REye,39,2
2,442,278,LEye,39,2
3,384,342,RM,39,2
4,444,341,LM,39,2
5,291,333,REar,39,2
6,445,309,LEar,39,2
0,427,289,Nose,0,3
1,403,253,REye,0,3
2,474,246,LEye,0,3
3,413,343,RM,0,3
4,467,344,LM,0,3
5,393,278,REar,0,3
6,573,281,LEar,0,3
0,423,291,Nose,1,3
1,388,251,REye,1,3
2,470,248,LEye,1,3
3,402,341,RM,1,3
4,459,344,LM,1,3
5,368,285,REar,1,3
6,543,281,LEar,1,3
0,421,291,Nose,2,3
1,378,251,REye,2,3
2,464,248,LEye,2,3
3,394,344,RM,2,3
4,453,344,LM,2,3
5,336,289,REar,2,3
6,513,287,LEar,2,3
0,421,290,Nose,3,3
1,375,251,REye,3,3
2,457,251,LEye,3,3
3,387,345,RM,3,3
4,447,343,LM,3,3
5,305,289,REar,3,3
6,473,281,LEar,3,3
0,421,288,Nose,4,3
1,373,249,REye,4,3
2,449,247,LEye,4,3
3,385,344,RM,4,3
4,440,340,LM,4,3
5,281,286,REar,4,3
6,443,274,LEar,4,3
0,429,297,Nose,5,3
1,404,252,REye,5,3
2,480,250,LEye,5,3
3,417,340,RM,5,3
4,480,340,LM,5,3
5,414,282,REar,5,3
6,571,283,LEar,5,3
0,426,300,Nose,6,3
1,391,251,REye,6,3
2,474,250,LEye,6,3
3,400,340,RM,6,3
4,470,339,LM,6,3
5,376,284,REar,6,3
6,542,280,LEar,6,3
0,426,300,Nose,7,3
1,383,254,REye,7,3
2,468,251,LEye,7,3
3,390,340,RM,7,3
4,461,340,LM,7,3
5,340,284,REar,7,3
6,511,286,LEar,7,3
0,424,296,Nose,8,3
1,377,254,REye,8,3
2,459,254,LEye,8,3
3,378,343,RM,8,3
4,453,338,LM,8,3
5,309,286,REar,8,3
6,477,276,LEar,8,3
0,426,296,Nose,9,3
1,378,251,REye,9,3
2,455,250,LEye,9,3
3,377,341,RM,9,3
4,442,339,LM,9,3
5,280,281,REar,9,3
6,435,275,LEar,9,3
0,429,289,Nose,10,3
1,403,253,REye,10,3
2,474,246,LEye,10,3
3,413,343,RM,10,3
4,467,344,LM,10,3
5,393,278,REar,10,3
6,573,281,LEar,10,3
0,422,289,Nose,11,3
1,388,251,REye,11,3
2,470,248,LEye,11,3
3,402,341,RM,11,3
4,459,344,LM,11,3
5,368,285,REar,11,3
6,543,281,LEar,11,3
0,423,290,Nose,12,3
1,378,251,REye,12,3
2,464,248,LEye,12,3
3,394,344,RM,12,3
4,453,344,LM,12,3
5,336,289,REar,12,3
6,513,287,LEar,12,3
0,421,291,Nose,13,3
1,375,251,REye,13,3
2,457,251,LEye,13,3
3,387,345,RM,13,3
4,447,343,LM,13,3
5,305,289,REar,13,3
6,473,281,LEar,13,3
0,423,288,Nose,14,3
1,373,249,REye,14,3
2,449,247,LEye,14,3
3,385,344,RM,14,3
4,440,340,LM,14,3
5,281,286,REar,14,3
6,443,274,LEar,14,3
0,429,297,Nose,15,3
1,404,252,REye,15,3
2,480,250,LEye,15,3
3,417,340,RM,15,3
4,480,340,LM,15,3
5,414,282,REar,15,3
6,571,283,LEar,15,3
0,426,300,Nose,16,3
1,391,251,REye,16,3
2,474,250,LEye,16,3
3,400,340,RM,16,3
4,470,339,LM,16,3
5,376,284,REar,16,3
6,542,280,LEar,16,3
0,426,300,Nose,17,3
1,383,254,REye,17,3
2,468,251,LEye,17,3
3,390,340,RM,17,3
4,461,340,LM,17,3
5,340,284,REar,17,3
6,511,286,LEar,17,3
0,424,296,Nose,18,3
1,377,254,REye,18,3
2,459,254,LEye,18,3
3,378,343,RM,18,3
4,453,338,LM,18,3
5,309,286,REar,18,3
6,477,276,LEar,18,3
0,426,296,Nose,19,3
1,378,251,REye,19,3
2,455,250,LEye,19,3
3,377,341,RM,19,3
4,442,339,LM,19,3
5,280,281,REar,19,3
6,435,275,LEar,19,3
0,421,291,Nose,20,3
1,403,253,REye,20,3
2,474,246,LEye,20,3
3,413,343,RM,20,3
4,463,342,LM,20,3
5,393,278,REar,20,3
6,573,281,LEar,20,3
0,419,289,Nose,21,3
1,388,251,REye,21,3
2,468,246,LEye,21,3
3,395,342,RM,21,3
4,456,343,LM,21,3
5,368,285,REar,21,3
6,543,281,LEar,21,3
0,419,289,Nose,22,3
1,378,251,REye,22,3
2,464,247,LEye,22,3
3,388,344,RM,22,3
4,453,344,LM,22,3
5,336,289,REar,22,3
6,513,287,LEar,22,3
0,417,292,Nose,23,3
1,375,251,REye,23,3
2,457,251,LEye,23,3
3,381,345,RM,23,3
4,447,343,LM,23,3
5,305,289,REar,23,3
6,473,281,LEar,23,3
0,423,288,Nose,24,3
1,373,249,REye,24,3
2,449,247,LEye,24,3
3,385,344,RM,24,3
4,440,340,LM,24,3
5,281,286,REar,24,3
6,443,274,LEar,24,3
0,429,297,Nose,25,3
1,404,252,REye,25,3
2,479,249,LEye,25,3
3,417,340,RM,25,3
4,480,340,LM,25,3
5,414,282,REar,25,3
6,571,283,LEar,25,3
0,426,300,Nose,26,3
1,391,251,REye,26,3
2,474,250,LEye,26,3
3,400,340,RM,26,3
4,470,339,LM,26,3
5,376,284,REar,26,3
6,542,280,LEar,26,3
0,426,300,Nose,27,3
1,383,254,REye,27,3
2,468,251,LEye,27,3
3,390,340,RM,27,3
4,461,340,LM,27,3
5,340,284,REar,27,3
6,511,286,LEar,27,3
0,424,296,Nose,28,3
1,377,254,REye,28,3
2,459,254,LEye,28,3
